Date,"Binance Coin",Bitcoin,Cardano,Dogecoin,Ethereum,Polkadot,Solana,Tether,"USD Coin",XRP
"2020-12-06 00:00",29.66559566,19195.97677064,0.15887074,0.00340648,597.57890064,5.11756247,1.85500514,1.00383598,1.00089917,0.60790742
"2020-12-07 00:00",29.53956262,19267.03448006,0.15631829,0.00338496,595.18642144,5.10633074,1.83797105,1.00151421,1.00097144,0.61299727
"2020-12-08 00:00",28.65907462,18940.57305068,0.14666057,0.00329166,578.26988157,4.9197282,1.68068892,1.00077107,1.00050779,0.5909658
"2020-12-09 00:00",28.2041147,18361.82999565,0.14601941,0.00314342,563.06111229,4.82957607,1.6507015,1.0017038,1.00097543,0.56285762
"2020-12-10 00:00",28.08905381,18346.85665668,0.14500951,0.00313772,563.43835709,4.83458101,1.5662982,1.00050265,1.0000205,0.57424961
"2020-12-11 00:00",27.41930628,17983.86353119,0.14127129,0.00307353,546.88483576,4.67091882,1.47103903,1.00080686,1.00018957,0.55857994
"2020-12-12 00:00",28.09246253,18537.99807369,0.14629577,0.00316158,561.22010005,4.74378617,1.49169871,1.00176841,1.00052654,0.52251332
"2020-12-13 00:00",28.95512195,19160.72496956,0.15423432,0.00320606,582.56974936,4.86403267,1.57122897,0.99915125,0.99973682,0.50987029
"2020-12-14 00:00",29.60496063,19205.44027267,0.15586327,0.00324277,585.78912793,4.90274475,1.58338854,1.0007768,0.9999714,0.50271141
"2020-12-15 00:00",29.86390196,19408.60110376,0.15566071,0.00322029,589.66520044,5.07795919,1.749345,1.0005743,0.99990655,0.48456561
"2020-12-16 00:00",29.82703667,20345.22928698,0.15845785,0.00328788,611.69975727,5.21287814,1.76529828,1.0001948,0.99907227,0.49978708
"2020-12-17 00:00",30.67119888,22610.29711801,0.16753994,0.00373034,650.6928425,5.46053215,1.70061711,0.99940282,0.99888774,0.58106149
"2020-12-18 00:00",30.8171426,22931.88197267,0.16449191,0.00379628,647.14722611,5.37472219,1.68256469,1.00094828,0.99974175,0.58376126
"2020-12-19 00:00",33.2353447,23517.02812045,0.1672926,0.00394265,660.06117386,5.43211511,1.69338724,1.0012137,0.99925338,0.58260611
"2020-12-20 00:00",34.58662573,23610.73062287,0.16474796,0.00444545,650.26274725,5.29465625,1.5910329,1.00167643,0.9994406,0.57276426
"2020-12-21 00:00",33.77196809,23257.03383046,0.15754427,0.00484122,626.59642907,5.06184685,1.5060838,1.00093755,0.99991047,0.54001742
"2020-12-22 00:00",32.97404784,23285.32500062,0.15675335,0.00464669,618.16003761,5.00927496,1.55860726,1.00139421,1.00052893,0.46607561
"2020-12-23 00:00",32.52632006,23611.44863899,0.14708608,0.00426183,609.95952241,4.97570153,1.22757551,1.00113649,1.00050203,0.3222073
"2020-12-24 00:00",31.91257843,23301.8551146,0.14241476,0.00410554,587.52153535,4.91125545,1.34314154,1.00118017,1.00014514,0.28473837
"2020-12-25 00:00",32.74183863,24172.91605076,0.15781439,0.00452872,620.14001486,5.14822208,1.42449387,1.00113856,1.00002192,0.33438605
"2020-12-26 00:00",33.49725911,25531.75605124,0.15510753,0.00453975,635.30026722,5.19206545,1.34806106,1.00001822,0.99946315,0.30628691
"2020-12-27 00:00",33.63410395,26970.75997851,0.15761237,0.00459204,666.29176552,5.20318145,1.33372047,0.99661283,0.99784861,0.28980621
"2020-12-28 00:00",35.46132512,26976.98757027,0.16593469,0.00464409,723.21689208,5.8964175,1.47125746,0.99934812,0.99983689,0.27636928
"2020-12-29 00:00",38.29203453,26805.85531258,0.18704803,0.00448027,722.01272196,6.69736774,1.63181573,0.99987019,0.99962037,0.22031647
"2020-12-30 00:00",37.80100754,28317.04107464,0.18299123,0.00459683,740.00637581,7.32652318,1.56541952,0.99951674,0.99976174,0.21172796
"2020-12-31 00:00",37.61873754,28916.0969828,0.18059617,0.00465283,742.33289033,8.19030495,1.51784773,1.00152419,1.0005822,0.21821537
