Date,"Binance Coin",Bitcoin,Cardano,Dogecoin,Ethereum,Tether,"USD Coin",XRP
"2019-02-11 00:00",9.21889789,3569.32042896,0.04084743,0.00185419,118.93880511,0.98887125,1.00262476,0.29872565
"2019-02-13 00:00",8.83063957,3572.60648302,0.04062696,0.00187575,121.22295487,0.98981493,0.99727046,0.3003321
"2019-02-15 00:00",8.9834036,3554.12802811,0.04016147,0.00189509,120.33118689,0.99404732,0.99262939,0.29809932
"2019-02-17 00:00",8.92185852,3582.4499936,0.04083729,0.00198246,128.89375597,0.98904973,0.96989362,0.29964692
"2019-02-19 00:00",10.02979058,3786.63247634,0.04470322,0.00203189,140.95795784,0.99429302,0.96491754,0.31887001
"2019-02-21 00:00",10.399884,3891.93949624,0.04515075,0.00202173,143.85461745,0.99051857,0.98976987,0.31763714
"2019-02-23 00:00",10.36303213,3943.06611951,0.04587871,0.00201285,148.65471963,0.99719958,0.99094647,0.31889917
"2019-02-25 00:00",9.74130114,3832.87623387,0.04333191,0.0019949,138.49606165,0.99525891,1.02197044,0.31693546
"2019-02-27 00:00",9.88860101,3796.7933788,0.04264312,0.00194372,135.23526401,0.99681668,1.00008869,0.31232034
"2019-03-01 00:00",10.95382866,3794.67122674,0.04264367,0.00195018,134.38079703,0.99788438,0.99332556,0.31358662
"2019-03-03 00:00",11.03986191,3740.39501227,0.04023516,0.00186551,129.41743627,0.99585803,0.96057355,0.30853952
"2019-03-05 00:00",12.88820851,3775.22555463,0.04102725,0.001922,133.90578436,0.99733227,1.02776466,0.3024845
"2019-03-07 00:00",0,3918.95895393,0.04289712,0.00210629,137.76610965,0.99611795,1.04682105,0.31514482
"2019-03-09 00:00",6.65969816,3939.73970054,0.04488704,0.0019777,138.46427977,0.99476742,1.02868636,0.31055215
"2019-03-11 00:00",14.41203442,3891.5903497,0.04694517,0.00199971,134.14727295,0.994744,1.00500522,0.31097301
"2019-03-13 00:00",14.78971869,3902.24277304,0.04901686,0.00206701,134.91464407,0.99591902,0.98986185,0.31540465
"2019-03-15 00:00",15.14815773,3951.08457036,0.04954116,0.00206375,137.17582203,0.99406007,1.01702516,0.31486595
"2019-03-17 00:00",15.55796084,3995.77731506,0.04961751,0.00204897,139.37640502,0.99634864,0.98804255,0.31438974
"2019-03-19 00:00",15.31238284,4011.97375995,0.05130308,0.00210406,139.13016699,0.99825879,0.99600738,0.31310603
"2019-03-21 00:00",14.74235394,4028.16826797,0.05449128,0.00202142,136.69846164,0.99762404,0.98369092,0.31176206
"2019-03-23 00:00",16.20833095,4148.78415305,0.0631786,0.00209272,141.31190032,0.99702578,1.04695302,0.32236068
"2019-03-25 00:00",16.73700698,3987.15820786,0.06059303,0.00206243,135.13321869,0.99542754,1.0111784,0.30408853
"2019-03-27 00:00",17.07968886,4199.08758208,0.06756648,0.00216978,150.41623437,0.99725895,1.06389372,0.31462983
"2019-03-29 00:00",16.53287293,4087.47841285,0.07030629,0.00209164,140.6608674,0.99695648,1.00308207,0.30845422
"2019-03-31 00:00",17.55714891,4157.26302989,0.07041339,0.00226581,142.05397388,0.99774152,1.02923747,0.3095094
"2019-04-02 00:00",19.03231609,4855.48874888,0.08438452,0.00299337,163.53344686,1.00931794,0.99481593,0.34398659
"2019-04-04 00:00",19.16533009,5000.91840173,0.08952084,0.00366039,162.14430534,1.0019755,1.00734048,0.3485208
"2019-04-06 00:00",19.2850774,5122.70134332,0.09053622,0.00342805,168.30384516,1.00242679,0.98699234,0.35951123
"2019-04-08 00:00",18.24228104,5207.73161592,0.08585148,0.00294756,178.06199396,1.01038911,0.98567081,0.35581321
"2019-04-10 00:00",17.87730048,5192.13418101,0.0859446,0.00283902,173.12907588,1.00788438,0.9847649,0.34609205
"2019-04-12 00:00",18.06700974,5141.18250757,0.08346419,0.00293272,168.11147857,1.00684909,1.00520523,0.33208131
"2019-04-14 00:00",19.21768438,5117.42216939,0.08330486,0.0029862,161.70074877,1.00427823,0.98298684,0.32641949
"2019-04-16 00:00",19.49191012,5181.52859166,0.08278518,0.00276204,165.70850057,1.0043613,1.02144678,0.32745427
"2019-04-18 00:00",21.64479136,5268.42412755,0.08100157,0.00293073,172.08632729,1.00455253,1.02139541,0.3343215
"2019-04-20 00:00",24.16484938,5295.96951324,0.07533887,0.00278018,173.05348332,1.00626704,1.02249665,0.32569601
"2019-04-22 00:00",23.93352627,5396.28956557,0.07678423,0.0027446,171.58573852,1.00587131,0.99427963,0.32496375
"2019-04-24 00:00",22.34439031,5398.47585033,0.0716229,0.00256827,164.2610465,0.99862991,0.99259434,0.30141123
"2019-04-26 00:00",22.30578765,5223.27822443,0.06859957,0.00247028,157.16047739,0.9727487,1.02117655,0.29300262
"2019-04-28 00:00",21.95331038,5120.60565701,0.06626588,0.00240494,152.27536454,0.97526994,0.98369847,0.28876916
"2019-04-30 00:00",21.62749496,5284.94275745,0.06745722,0.00248445,159.48986077,0.98804946,1.01425547,0.30292226
"2019-05-02 00:00",22.88399365,5536.2792262,0.06836523,0.00257299,165.32382707,0.98675661,1.00231162,0.30059426
"2019-05-04 00:00",22.63142312,5657.91150713,0.06626795,0.00254273,161.0155136,0.98864333,0.97904813,0.29916846
"2019-05-06 00:00",21.83346487,5729.05498534,0.06525216,0.00248786,169.48787245,0.98909695,0.99207156,0.29811552
"2019-05-08 00:00",20.01808134,5965.38198405,0.06263417,0.00248449,171.1739674,0.99013373,1.01454666,0.29492648
"2019-05-10 00:00",19.79518519,6591.6906545,0.06755502,0.00262284,181.35212775,0.99954265,1.02767372,0.30859214
"2019-05-12 00:00",21.84085387,7215.56800175,0.07254317,0.00263151,191.59998515,1.0031707,0.9853663,0.31736781
"2019-05-14 00:00",25.56647073,8164.23934735,0.08558105,0.00340994,224.30405086,1.00081491,1.05217093,0.41237386
"2019-05-16 00:00",25.94749238,7741.78319532,0.0874298,0.00310507,253.25503434,0.99465068,1.01224424,0.41656319
"2019-05-18 00:00",27.94896942,7585.45747949,0.083218,0.0029957,246.99804764,1.0036559,1.00055421,0.39099605
"2019-05-20 00:00",29.38035336,8042.69438948,0.08544759,0.00309319,253.42441428,1.00597765,1.00820781,0.39892861
"2019-05-22 00:00",31.45275775,7799.9145252,0.08022837,0.00288887,248.32844475,1.00033932,0.9924868,0.38440711
"2019-05-24 00:00",34.13673615,7968.07740953,0.0811579,0.00290621,247.94128259,1.00376546,0.98195192,0.38618877
"2019-05-26 00:00",34.61308162,8558.0978567,0.08687752,0.00318785,265.78857538,1.00643244,1.00455023,0.40806988
"2019-05-28 00:00",33.31113664,8736.70998061,0.09068454,0.00332241,270.61020284,0.99639362,1.02311457,0.43949588
"2019-05-30 00:00",32.97403193,8551.58193969,0.09045203,0.00322712,266.60526311,1.00199316,1.03058557,0.43868893
"2019-06-01 00:00",33.28935273,8555.19759132,0.09228028,0.00340289,268.40911721,0.99973859,0.98375516,0.43578116
"2019-06-03 00:00",30.97363257,8161.8094118,0.08953897,0.00331653,252.77246865,1.00048289,1.00607498,0.42862354
"2019-06-05 00:00",30.46674804,7884.32652461,0.08463738,0.00310944,246.0800894,1.00004847,1.01884655,0.4112
"2019-06-07 00:00",31.78467314,7918.67331474,0.08503052,0.00309161,248.92576453,0.99823134,0.99502648,0.42119021
"2019-06-09 00:00",31.29053833,7847.0221449,0.08202529,0.00300964,239.39429048,0.99871693,0.98825539,0.39805196
"2019-06-11 00:00",32.74146257,8049.14348132,0.09050014,0.00307625,250.48323176,0.99828595,1.02629571,0.39858216
"2019-06-13 00:00",34.0917701,8271.64394202,0.09079252,0.0028323,258.8454488,1.0031022,0.96921522,0.40116071
"2019-06-15 00:00",32.94166042,8946.18190866,0.09285161,0.00323536,269.46272099,1.00350957,1.00848455,0.41698928
"2019-06-17 00:00",33.85264975,9198.50116764,0.09256784,0.00322731,270.72588685,1.00205601,1.02481464,0.43794091
"2019-06-19 00:00",35.36735742,9238.05239701,0.08921552,0.00296574,270.58753509,0.99167572,0.98314389,0.4352547
"2019-06-21 00:00",38.17034046,10257.2751647,0.09285761,0.0032831,295.67712666,1.00184707,1.01164504,0.45535777
"2019-06-23 00:00",37.13327657,10782.75834625,0.09700549,0.00314719,308.45385657,0.99363128,0.98814259,0.46858566
"2019-06-25 00:00",36.56057454,11918.78459409,0.09947141,0.00294688,324.12505773,0.99342301,0.98271213,0.47301283
"2019-06-27 00:00",34.00913924,11908.20057944,0.09303412,0.00350757,310.58000426,0.98784492,0.99311682,0.43229799
"2019-06-29 00:00",34.16316093,11796.6249087,0.09059588,0.00387558,306.55854947,0.99596202,1.00780163,0.42084264
"2019-07-01 00:00",32.16274791,10643.11894177,0.08591101,0.00337689,293.50449938,0.99608208,1.01311181,0.40775039
"2019-07-03 00:00",32.29329669,11577.61180545,0.08456063,0.00323088,298.08751518,1.00125852,1.00062667,0.40366437
"2019-07-05 00:00",32.93786821,11370.50012577,0.07968643,0.0041413,291.08970919,1.00021685,0.99445411,0.39116469
"2019-07-07 00:00",33.36728465,11585.98263877,0.08098745,0.00329143,302.80163169,1.00181612,0.98713049,0.39889492
"2019-07-09 00:00",32.99488519,12514.40255562,0.07721923,0.00347287,303.36793787,1.00446323,1.0084938,0.38594667
"2019-07-11 00:00",30.69537044,11659.58274463,0.0686266,0.00324653,274.73279963,1.00048321,1.00214911,0.34067034
"2019-07-13 00:00",30.42023142,11075.79583687,0.06671839,0.00307869,255.09268223,1.0012596,0.96951254,0.32764685
"2019-07-15 00:00",27.43420308,10323.56116107,0.05681284,0.00287325,220.21324675,1.00029105,0.98405174,0.31052994
"2019-07-17 00:00",27.79610144,9967.49974359,0.05747757,0.00315499,216.02124098,1.00033799,1.03391222,0.3170733
"2019-07-19 00:00",30.00820584,10653.3343224,0.06243927,0.00321641,226.32468322,1.00287537,1.00172899,0.32575117
"2019-07-21 00:00",30.71750088,10543.55391626,0.06189143,0.0030796,222.74584224,0.99965037,1.01432678,0.32740942
"2019-07-23 00:00",29.22999094,9964.06318348,0.05791634,0.00286898,213.98912355,1.00117327,1.00416752,0.31553589
"2019-07-25 00:00",28.93607956,9921.23371209,0.05988263,0.00296301,219.06173107,0.99926903,1.00666838,0.3170065
"2019-07-27 00:00",27.81823285,9598.31415629,0.06003216,0.00287546,210.51566329,0.99875504,0.99674998,0.31246282
