Date,crypto,cryptocurrency,bitcoin,BTC,ethereum,ETH,binance,BNB,cardano,ADA,tether,USDT,XRP,solana,SOL,polkadot,DOT,USDC,doge,dogecoin,v(Binance Coin),v(Bitcoin),v(Cardano),v(Dogecoin),v(Ethereum),v(Polkadot),v(Solana),v(Tether),v(USD Coin),v(XRP)
2020-12-03,8.42857142857143,11.857142857142854,17.714285714285708,4.428571428571427,10.714285714285715,19.14285714285714,1.0,36.571428571428584,4.428571428571427,86.85714285714283,27.14285714285714,8.0,21.85714285714286,7.571428571428573,75.42857142857144,11.0,75.57142857142856,21.85714285714286,4.571428571428573,0.7142857142857144,30.47852623,19278.73095953,0.16371114,0.00342069,606.82024924,5.44099505,2.05588307,1.00071908,0.99951893,0.62687786
2020-12-04,8.285714285714288,11.571428571428568,17.142857142857135,4.285714285714284,10.142857142857144,18.428571428571423,1.0,37.71428571428573,4.285714285714284,83.57142857142854,27.428571428571423,8.0,21.571428571428577,7.714285714285716,75.2857142857143,11.0,75.7142857142857,21.571428571428577,4.714285714285716,0.642857142857143,29.99779692,19124.99963946,0.15462201,0.0033845,596.04232833,5.24466849,1.93901219,1.00224939,1.0009298,0.59039044
2020-12-05,8.142857142857146,11.285714285714281,16.571428571428562,4.142857142857141,9.571428571428573,17.714285714285708,1.0,38.857142857142875,4.142857142857141,80.28571428571425,27.714285714285708,8.0,21.285714285714292,7.857142857142859,75.14285714285717,11.0,75.85714285714283,21.285714285714292,4.857142857142859,0.5714285714285716,29.70991897,19078.08849414,0.15990471,0.00337478,589.20804721,5.09298615,1.974868,1.00353829,1.00125933,0.58309021
2020-12-06,8.0,11.0,16.0,4.0,9.0,17.0,1.0,40.0,4.0,77.0,28.0,8.0,21.0,8.0,75.0,11.0,76.0,21.0,5.0,0.5,29.66559566,19195.97677064,0.15887074,0.00340648,597.57890064,5.11756247,1.85500514,1.00383598,1.00089917,0.60790742
2020-12-07,8.285714285714286,11.428571428571429,17.714285714285715,4.285714285714286,9.428571428571429,17.714285714285715,1.0,39.285714285714285,4.285714285714286,72.57142857142857,27.571428571428573,8.428571428571429,21.142857142857142,7.857142857142857,75.57142857142857,11.571428571428571,75.57142857142857,21.714285714285715,5.0,0.5714285714285714,29.53956262,19267.03448006,0.15631829,0.00338496,595.18642144,5.10633074,1.83797105,1.00151421,1.00097144,0.61299727
2020-12-08,8.571428571428573,11.857142857142858,19.42857142857143,4.571428571428571,9.857142857142858,18.42857142857143,1.0,38.57142857142857,4.571428571428571,68.14285714285714,27.142857142857146,8.857142857142858,21.285714285714285,7.7142857142857135,76.14285714285714,12.142857142857142,75.14285714285714,22.42857142857143,5.0,0.6428571428571428,28.65907462,18940.57305068,0.14666057,0.00329166,578.26988157,4.9197282,1.68068892,1.00077107,1.00050779,0.5909658
2020-12-09,8.85714285714286,12.285714285714286,21.142857142857146,4.857142857142857,10.285714285714286,19.142857142857146,1.0,37.857142857142854,4.857142857142857,63.71428571428571,26.71428571428572,9.285714285714286,21.428571428571427,7.57142857142857,76.71428571428571,12.714285714285714,74.71428571428571,23.142857142857146,5.0,0.7142857142857142,28.2041147,18361.82999565,0.14601941,0.00314342,563.06111229,4.82957607,1.6507015,1.0017038,1.00097543,0.56285762
2020-12-10,9.142857142857146,12.714285714285715,22.85714285714286,5.142857142857142,10.714285714285715,19.85714285714286,1.0,37.14285714285714,5.142857142857142,59.28571428571428,26.285714285714292,9.714285714285715,21.57142857142857,7.428571428571427,77.28571428571428,13.285714285714285,74.28571428571428,23.85714285714286,5.0,0.7857142857142856,28.08905381,18346.85665668,0.14500951,0.00313772,563.43835709,4.83458101,1.5662982,1.00050265,1.0000205,0.57424961
2020-12-11,9.428571428571432,13.142857142857144,24.571428571428577,5.428571428571428,11.142857142857144,20.571428571428577,1.0,36.42857142857142,5.428571428571428,54.85714285714285,25.857142857142865,10.142857142857144,21.71428571428571,7.285714285714284,77.85714285714285,13.857142857142856,73.85714285714285,24.571428571428577,5.0,0.857142857142857,27.41930628,17983.86353119,0.14127129,0.00307353,546.88483576,4.67091882,1.47103903,1.00080686,1.00018957,0.55857994
2020-12-12,9.714285714285719,13.571428571428573,26.285714285714292,5.7142857142857135,11.571428571428573,21.285714285714292,1.0,35.71428571428571,5.7142857142857135,50.428571428571416,25.428571428571438,10.571428571428573,21.857142857142854,7.142857142857141,78.42857142857142,14.428571428571427,73.42857142857142,25.285714285714292,5.0,0.9285714285714284,28.09246253,18537.99807369,0.14629577,0.00316158,561.22010005,4.74378617,1.49169871,1.00176841,1.00052654,0.52251332
